True Values,Predicted Values
-1.4,-1.2072263551554392
-1.73,-1.2938057361223
-2.26,-1.106168425529234
-2.95,-1.9930889113617005
-2.44,-1.0942592527639745
-1.58,-1.9244117410231496
-1.22,-1.0403687708468983
-2.81,-3.0109236609584036
-0.95,-0.6287251543856437
-2.15,-2.1204045329048604
-1.21,-1.0340304188469245
-1.69,-0.8294233393640165
-3.76,-3.4329521818280235
-6.75,-6.0784410011876115
-2.25,-1.118863097538082
-4.5,-3.4390313725973023
-4.83,-4.854856277220605
-1.16,-0.9787360973697697
-5.19,-3.215849385918199
-3.27,-3.304637831239188
-3.75,-3.562224724167068
-4.5,-4.874811353570282
-2.97,-2.8459518270166897
-4.15,-4.17150457647656
-2.65,-2.133977730556103
-5.35,-4.896836425017752
-5.28,-4.025069446153337
-2.68,-2.471052725419684
-1.06,-1.144941476382111
-3.59,-3.7330320723908508
-3.49,-2.5350669421020626
-2.19,-2.2908127007102106
-0.56,-2.118128749477268
-3.47,-3.0056651602894218
-4.43,-1.468186920568765
-3.24,-2.1310686913298396
-1.82,-1.413858178648701
-4.82,-4.2077906272524235
-3.57,-3.479002572025389
-1.22,-0.7814962014580885
-3.87,-3.599210785823066
-3.61,-2.1266348596061597
-1.98,-2.1335078151870213
-4.58,-4.419395820292
-3.09,-2.9382756165657207
-2.29,-2.3764788329674644
-1.49,-2.6074814529570154
-3.86,-2.9560531753759003
-3.79,-1.9599802336666514
-4.42,-4.719858245071481
-2.37,-2.0128537835423037
-6.18,-6.0184829274935545
-0.91,-0.740841137094243
-1.93,-1.0619280335217067
-5.49,-4.557893707342909
-5.46,-4.267156215722538
-2.7,-2.6349969806857456
-2.73,-2.7032001363394644
-1.52,-1.3221495178185823
-3.53,-2.497239059347738
-1.01,-1.8358456956066411
-4.44,-4.083413227136589
-3.7,-2.0727559048669253
-1.5,-0.9258159810547663
-2.66,-2.8699849574940184
-1.49,-0.9218360036074925
-3.4,-2.3585250913149607
-2.0,-2.021368484255279
-3.52,-3.4266522964178896
-6.74,-4.932505108734126
-3.46,-3.114864691161786
-1.52,-1.7761730439120285
-3.33,-3.320441578109939
-1.37,-1.6648936124842142
-1.96,-2.3120490987669005
0.48,-1.7426016411112224
-2.11,-2.000321527637959
-3.24,-3.4287864697452517
-3.09,-2.188178482971038
-2.64,-2.5380685528742912
-5.32,-4.489400686563319
-3.13,-2.6566652456961934
-1.03,-1.091284324595541
-3.25,-3.666751781486971
-3.46,-3.29065353726841
-1.8,-2.0450130066245733
-3.02,-3.8258243933295026
-3.24,-4.684510151542521
-4.63,-4.856115736347851
-0.85,-0.6778673100209217
-4.16,-5.304975123326402
0.02,-1.2214639594932515
-1.84,-1.0268971349743763
-1.36,-0.3760836923579439
-4.29,-3.5472501031726464
-5.2,-4.2177711450617
-6.73,-7.313191837428178
-5.9,-5.959850936888454
