Compound ID;InChIKey;SMILES;logS;logP;MW
C1711;ACTIUHUUMQJHFO-UPTCCGCDSA-N;COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C;-18,21;17,85;863,34
C1712;CQISYTXUORWJSX-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCCCCCCCCCCCCCCC;-17,46;14,23;641,07
C1713;UXPYIAWFQKSHNV-UHFFFAOYSA-N;CCCCCCCCCCCCCCCC(=O)OCCCCOC(=O)CCCCCCCCCCCCCCC;-16,25;11,82;566,94
C1714;BDIWFCKBPZPBQT-UHFFFAOYSA-N;CCCC[Sn](S[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC;-15,67;10,41;612,15
C1715;RNPXCFINMKSQPQ-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)O;-15,2;12,08;546,85
C1716;FTQWRYSLUYAIRQ-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCC(=O)NCNC(=O)CCCCCCCCCCCCCCCCC;-14,93;12,48;579
C1717;YYGNTYWPHWGJRM-AAJYLUCBSA-N;C/C(=C\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/CC/C=C(/CCC=C(C)C)\C;-14,59;10,61;410,72
C1718;RYROWNOHCUSOKT-UHFFFAOYSA-N;Brc1ccc(nc1)OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc1ccc(cn1)Br.Cl.Cl;-14,54;12,65;849,69
C1719;SPJCRMJCFSJKDE-ZWBUGVOYSA-N;ClCCN(c1ccc(cc1)CC(=O)O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CCCC(C)C)C)C)C1)C)CCCl;-14,52;10,47;644,8
C1720;MSCCTZZBYHQMQJ-AZAGJHQNSA-N;C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)c1cccnc1)C)CCC[C@@H](CCCC(C)C)C;-13,79;9,75;535,8
C1721;SYKKEUORZVAILP-XPXLQCACSA-N;CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCCC)CCCCCCCC.[Cl-];-13,61;6,22;545,28
C1722;XVQDYVLXIXMLOS-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCOC(=O)c1ccc(c(c1)N(CCCl)CCCl)C;-13,45;9,31;514,61
C1723;FIAFUQMPZJWCLV-UHFFFAOYSA-N;O=C(Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O;-13,25;13,67;1297,28
C1724;NKNPHSJWQZXWIX-DCVDGXQQSA-N;CC[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](CC)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)CC)C)CC2)CC;-13,14;7,58;793,04
C1725;ZPBNOWWJKRKBEV-YZMZVZPOSA-N;CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NOCCCc4ccccc4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C;-12,83;6,55;858,97
C1726;SKEVFVQMAFMKEM-DYNGLPSQSA-N;CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCC)CCCCCCC.[Cl-];-12,57;5,44;517,23
C1727;ZAKOWWREFLAJOT-CEFNRUSXSA-N;C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)C)C)CCC[C@@H](CCCC(C)C)C;-12,55;9,06;472,74
C1728;VFBJXXJYHWLXRM-UHFFFAOYSA-N;O=C(CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)OCCSCCOC(=O)CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C;-12,15;8,67;642,93
C1729;GSMFFPAGZVRAPY-VLSXRWFESA-N;CCCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCCC)CCCCCCCC.[Cl-];-12,05;5,05;503,2
C1730;GOATZYAVXMPVQD-UHFFFAOYSA-N;Brc1cnc(c(c1)Br)OCCCCCNCCSSCCNCCCCCOc1ncc(cc1Br)Br.Cl.Cl;-12;10,27;867,22
C1731;PZPPOCZWRGNKIR-PNVYSBBASA-N;OC[C@]12SS[C@]3(N(C1=O)[C@H]1Nc4c([C@]1(C3)[C@@]13C[C@]56N([C@H]3Nc3c1cccc3)C(=O)[C@](SS5)(N(C6=O)C)CO)cccc4)C(=O)N2C;-11,97;1,36;696,84
C1732;MBWXNTAXLNYFJB-NKFFZRIASA-N;C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/CC1=C(C)C(=O)c2c(C1=O)cccc2)/C;-11,96;9,16;450,7
C1733;VWZAGCZUPZKTET-UHFFFAOYSA-N;OS(=O)(=O)O.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N;-11,85;9,03;710,96
C1734;BIADSXOKHZFLSN-YEUOVSOVSA-N;C/C(=C\CCC1[C@](C)(O)CCC2[C@]1(C)CCCC2(C)C)/CC[C@@H]1C(=C)CCCC1(C)C;-11,79;8,87;428,73
C1;ONXPZLFXDMAPRO-UHFFFAOYSA-N;Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl;-11,62;9,89;498,66
C1735;AVBZMYRNHKNVAW-DSPABWSOSA-N;CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCC)CCCCCC.[Cl-];-11,53;4,66;489,18
C1736;FEQOTXWZPMPKGW-UHFFFAOYSA-N;O=C1c2ccccc2c2c3c1ccc(c3ccc2)c1ccc2c3c1cccc3c1c(C2=O)cccc1;-11,53;8,08;458,51
C1737;YKSGNOMLAIJTLT-UHFFFAOYSA-N;O=C1c2ccccc2c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c2c(C1=O)cccc2;-11,51;8,16;456,49
C1738;ZPACYDRSPFRDHO-ROBAGEODSA-N;C/C(=C\CCC(=O)OC/C=C(/CCC=C(C)C)\C)/CC/C=C(/CCC=C(C)C)\C;-11,47;8,42;400,64
C1739;FYPMFJGVHOHGLL-UHFFFAOYSA-N;CC(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)C;-11,36;9,91;516,84
C1740;VIQCGTZFEYDQMR-UHFFFAOYSA-N;CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F;-11,35;7,94;591,77
C1741;OYIBHXRZSMTHLW-XIDBHWPPSA-N;Clc1ccc2c(c1)/C(=C/CCN1CCCCC1)/c1c(S2)cccc1.Br;-11,32;7,01;436,84
C1742;QEFDFGVDVZTFAK-GGXMVOPNSA-N;CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl;-11,31;8,18;647,63
C1743;IDWDXHQLOMJDRU-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCC(=O)OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl;-11,28;8,64;589,59
C1744;WWVAPFRKZMUPHZ-UHFFFAOYSA-N;O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I;-11,2;6,28;1287,92
C1745;RCUAUWPBLXTBGM-UHFFFAOYSA-N;CC(=CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)CC=C(C)C)C;-11,02;8,51;543,83
C1746;DDWKCBUSQTZBMR-UHFFFAOYSA-N;N#CC(c1cccc2c1cccc2)(CCN(CC=C(C)C)CC=C(C)C)CCN(CC=C(C)C)CC=C(C)C;-11,02;8,85;525,81
C1747;WIYZZHWXZCULNY-DHKWPOFJSA-N;CCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCC)CCCCCC.[Cl-];-11,01;4,27;475,15
C1748;ZLHXGWFOXJVXPN-DHKWPOFJSA-N;CCCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-];-11,01;4,27;475,15
C1749;MNULEGDCPYONBU-ZZTRBZRQSA-N;CC[C@@H]1/C=C/C=C/C[C@H](C)[C@@H](O)[C@](C)(O)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H]([C@H]([C@@H](/C=C/C(=O)O[C@H]2[C@H]([C@@H](CC1)O[C@@]1(CC[C@H]([C@H](O1)C[C@@H](O)C)C)[C@H]2C)C)C)O)C;-10,92;5,88;791,06
C1750;JXMIBUGMYLQZGO-UHFFFAOYSA-N;O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)COCCOCCOCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I;-10,91;5,48;1215,81
C1751;MYPYJXKWCTUITO-LYRMYLQWSA-N;OC[C@H]1O[C@@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]([C@@H](c4ccc(O3)c(Cl)c4)O)NC(=O)[C@@H](CC(C)C)NC)c3ccc(c(c3)c3c(O)cc(cc3[C@H](NC2=O)C(=O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@H]([C@@](C1)(C)N)O;-10,87;3,93;1449,25
C1752;MQYXUWHLBZFQQO-QGTGJCAVSA-N;CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C;-10,84;8,02;426,72
C1753;FTQDJVZNPJRVPG-XWEVEMRCSA-N;CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C;-10,59;6,98;512,72
C1754;USDIZUOMBXWPLQ-FJBFXRHMSA-N;CCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-];-10,49;3,88;461,12
C1755;CNYRGVIFIXLHHK-FJBFXRHMSA-N;CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCC)CCCCCCC.[Cl-];-10,49;3,88;461,12
C2;XIFFTDRFWYFAPO-UHFFFAOYSA-N;Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl;-10,41;9,23;464,21
C1756;DLVULIKDGUJXMV-UHFFFAOYSA-N;Brc1ccc(nc1)OCCCCCCNCCSSCCNCCCCCCOc1ccc(cn1)Br.Cl.Cl;-10,38;9,53;737,48
C1757;JMPFSEBWVLAJKM-UHFFFAOYSA-N;N#CC(c1cc(C)c(cc1Cl)NC(=O)c1cc(I)cc(c1O)I)c1ccc(cc1)Cl;-10,34;7,2;663,07
C1758;OFHCOWSQAMBJIW-AVJTYSNKSA-N;CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCC/C/2=C\C=C/1\C[C@@H](O)C[C@@H](C1=C)O)C)C;-10,32;6,59;400,64
C3;JFIMDKGRGPNPRQ-UHFFFAOYSA-N;Clc1cc(c(c(c1Cl)Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl;-10,26;9,23;464,21
C1759;UBDWKOZBPSKHMO-UHFFFAOYSA-N;CCC(C(c1ccc(cc1)OCCN(CC)CC)CC)c1ccc(cc1)OCCN(CC)CC;-10,25;6,82;468,71
C1760;QYIXCDOBOSTCEI-FBVYSKEZSA-N;CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@H](C2)O)C)C;-10,05;7,47;388,67
C1761;COQAPWLZSHQTKA-MSDOJSJISA-N;O=C/C(=C\C[C@]12OC([C@H]3[C@]42Oc2c(C(=O)C4=C[C@@H](C1=O)C3)c(O)c1c(c2CC=C(C)C)OC(C=C1)(C)C)(C)C)/C;-10,05;5,63;544,64
C1762;KQXDHUJYNAXLNZ-XQSDOZFQSA-N;CC[C@H]([C@H]1O[C@]2(C=C[C@H]([C@@]3(O2)CC[C@@](O3)(C)[C@H]2CC[C@]([C@@H](O2)C)(O)CC)O)[C@@H](C[C@@H]1C)C)C(=O)[C@H]([C@H]([C@@H]([C@@H]1O[C@H](CC[C@@H]1C)[C@H](C(=O)O)CC)C)O)C;-10;6,19;751
C1763;ZDMXWGVLXYXVTN-XKRXHFONSA-N;C/C(=C/CNCC1CCC(CC1)CNC/C=C(\CCC=C(C)C)/C)/CCC=C(C)C.Cl.Cl;-10;9,74;487,63
C1764;PXBIAYSAZBFYQQ-LXCLTORNSA-N;CCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-];-9,974;3,49;447,1
C1765;IQOILDYEBKDJQN-LXCLTORNSA-N;CCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCCC)CCCCCC.[Cl-];-9,974;3,49;447,1
C1766;HWNQHNPAOQSMFI-LXCLTORNSA-N;CCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-];-9,974;3,49;447,1
C1767;SRGLANFDNQAVFW-LXCLTORNSA-N;CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCC)CCCCCCC.[Cl-];-9,974;3,49;447,1
C1768;MIJYXULNPSFWEK-GTOFXWBISA-N;O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C;-9,925;7,23;456,7
C1769;BQJJCIYAPLCGJD-UHFFFAOYSA-N;Clc1cnc(c(c1)Cl)OCCCCCNCCSSCCNCCCCCOc1ncc(cc1Cl)Cl.Cl.Cl;-9,878;9,84;689,42
C1770;RVVVMCHNTQXDPI-UHFFFAOYSA-N;CC(c1cc(Cc2cc(cc(c2O)C(C)(C)C)C(C)C)c(c(c1)C(C)(C)C)O)C;-9,868;7,53;396,61
C1771;WVTKBKWTSCPRNU-KYJUHHDHSA-N;COc1c(OC)cc2c3c1Oc1cc4c(cc1OC)CCN([C@H]4Cc1ccc(Oc4cc(C[C@@H]3N(CC2)C)ccc4OC)cc1)C;-9,864;7,04;622,75
C1772;LRWSFOSWNAQHHW-UHFFFAOYSA-N;CCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F;-9,794;6,77;549,69
C1773;HALWUDBBYKMYPW-UHFFFAOYSA-M;O=C1N(Cc2ccccc2)C2C(N1Cc1ccccc1)C[S+]1C2CCC1.O=C1CC2C(C1(CC2)CS(=O)(=O)[O-])(C)C;-9,791;5,54;596,8
C1774;DDOXROFFXDWGCO-UHFFFAOYSA-N;c1ccc2c(c1)C(NCC2)CC12CCC(CC1)(CC2)CC1NCCc2c1cccc2;-9,737;6,54;400,6
C1775;KMDLOETUWUPGMB-GSTUHXICSA-N;Cc1cc(ccc1N/N=C/1\C(=O)C=Cc2c1cccc2)/N=N/c1ccccc1C;-9,733;6,2;380,44
C1776;OBZHEBDUNPOCJG-SMVPYXKTSA-N;O=C(O[C@H]1CC[C@]2(C(C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@@H]2C[C@@](C)(CC1)C(=O)O)C)C)C)CCC(=O)O;-9,689;6,83;570,76
C1777;ICTGRDPWQUONIY-UHFFFAOYSA-N;OC(c1cccc(n1)C(Cc1ccccc1)(Cc1ccccc1)O)(Cc1ccccc1)Cc1ccccc1;-9,63;6,43;499,64
C1778;ITPDYQOUSLNIHG-UHFFFAOYSA-N;CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2.Cl;-9,578;7,74;681,77
C1779;PPJYSSNKSXAVDB-UHFFFAOYSA-N;OC(=O)Cc1cc(I)c(c(c1)I)Oc1cc(I)c(c(c1)I)O;-9,508;5,23;747,83
C1780;GUPWKIBOCFKLBR-UHFFFAOYSA-M;CCOc1cc(C[N+]2(CCCCC2)CCOCCC2CCC3CC2C3(C)C)c(cc1OCC)Br.[Br-];-9,498;4,19;617,5
C1781;QBEFIFWEOSUTKV-UHFFFAOYSA-N;CCCCCC(C(c1cc(O)c2c(c1)OC(C1=C2CC(C)CC1)(C)C)C)C;-9,471;7,46;370,57
C1782;HFVNWDWLWUCIHC-GUPDPFMOSA-N;ClCCN(c1ccc(cc1)CCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C)CCCl;-9,468;5,42;646,64
C1783;PJGOWSFDWNQUOK-JTHROIFXSA-N;CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OC)CCCCCCC.[Cl-];-9,454;3,1;433,07
C1784;VCZAWDPRDDWJMS-JTHROIFXSA-N;CCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-];-9,454;3,1;433,07
C1785;NSMHQGXGMBMVIK-JTHROIFXSA-N;CCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCC)CCC.[Cl-];-9,454;3,1;433,07
C1786;GXFHMHYIPXHRDE-JTHROIFXSA-N;CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-];-9,454;3,1;433,07
C1787;YCOZIPAWZNQLMR-UHFFFAOYSA-N;CCCCCCCCCCCCCCC;-9,446;6,1;212,42
C1788;KJSWIAZTEMACJB-UHFFFAOYSA-N;CCC(CCC(C[NH2+]C(CCCCC([NH2+]CC(CCC(CC)C)C)C)C)C)C.[Cl-].[Cl-];-9,421;-0,62;469,66
C1789;IGVGULKYVNFIOV-SPIKMXEPSA-N;c1ccc(cc1)C(c1ccccc1)N1CCN(CC1)CC1COC2(O1)c1ccccc1CCc1c2cccc1.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O;-9,407;5,11;748,82
C1790;HIYAVKIYRIFSCZ-CYEMHPAKSA-N;CNc1ccc2c(c1C(=O)O)nc(o2)C[C@H]1O[C@@]2(CC[C@H]1C)O[C@@H]([C@@H](C[C@H]2C)C)[C@@H](C(=O)c1ccc[nH]1)C;-9,405;5,6;523,62
C1791;IYIKLHRQXLHMJQ-UHFFFAOYSA-N;CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2;-9,358;6,94;645,31
C1792;NQERQCNWHNKCSA-UHFFFAOYSA-N;Brc1cccnc1OCCCCCNCCSSCCNCCCCCOc1ncccc1Br.Cl.Cl;-9,341;8,75;709,43
C1793;RJEKQCDPXXLTSK-UHFFFAOYSA-N;Brc1ccc(nc1)OCCCCCNCCSSCCNCCCCCOc1ccc(cn1)Br.Cl.Cl;-9,341;8,75;709,43
C4;VPUGDVKSAQVFFS-UHFFFAOYSA-N;c1cc2ccc3c4c2c2c1ccc1c2c2c4c(cc3)ccc2cc1;-9,329;6,92;300,35
C1794;WYQWZFORYHRFBW-UHFFFAOYSA-N;Clc1ccc(nc1)OCCCCCCNCCSSCCNCCCCCCOc1ccc(cn1)Cl.Cl.Cl;-9,321;9,31;648,58
C1795;HSTCMJJFYYQQRG-UHFFFAOYSA-N;COc1ccc2c(c1)c(CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C;-9,267;6,37;598
C1796;IWYNVAJACBPVLT-UHFFFAOYSA-N;Nc1cc(C)[n+](c2c1cccc2)CCCCCCCCCC[n+]1c(C)cc(c2c1cccc2)N.[O-]C(=O)C.[O-]C(=O)C;-9,252;4,85;574,75
