True Values,Predicted Values
-2.739273241,-3.5032098
-4.853247514,-5.47923
-2.498271838,-2.2919593
-2.943687832,-2.5806828
-1.79,-1.6135882
-2.29,-1.7242929
0.285847566,-2.2554471
-4.657840035,-3.7615774
-1.911782265,-0.51777565
-4.258271222,-4.0491734
-4.887169116,-5.0752015
-1.24,-0.72521645
-4.29417848,-4.490491
-1.13,-1.3750464
0.364315227,0.04675256
-4.5999999,-4.4071674
-4.061571701,-4.2203703
-2.437477847,-2.3155897
-5.459859141,-5.1103024
-5.3800001,-5.3236947
-5.305966488,-4.888773
0.849087089,0.60394394
0.50894091,-0.733769
-3.03,-2.6450982
-4.118852797,-3.9461331
-2.810603515,-1.879139
-3.367022524,-3.5840576
-4.191870982,-4.0621276
-2.422221171,-2.1835039
-2.559613874,-2.5940359
-1.162250286,-2.3722618
-1.162377904,-0.9442069
-3.345961532,-3.6571982
-1.4,-1.2988137
-1.981471596,-2.514067
-6.448866965,-5.859248
-6.6199999,-6.703432
-4.6100001,-3.4859831
0.001793448,-0.84042144
0.8147951,0.54301155
0.458107615,-1.260381
-2.163747133,-1.8671278
-4.363099872,-5.0134544
-2.9659295,-2.4828777
-0.5608856,-0.9146506
-4.35575263,-5.1194553
-1.291934418,-2.171611
-0.822244418,0.041797236
-2.702857893,-2.7505243
-0.207514254,-0.7072168
-4.113623901,-3.6424546
-0.804689247,-1.5138743
-2.765899586,-3.1434395
0.039999999,0.024279956
-4.222435519,-4.874045
-4.228730244,-4.890475
-5.971229336,-4.37658
-5.323868106,-5.0376487
-3.8,-3.6443012
-1.695427229,-1.8896277
-1.36,-1.510385
0.602077346,0.66813457
-5.396470211,-5.2043004
-3.177880228,-2.6925526
-3.891069358,-3.6832824
0.49000001,0.7571898
-0.421269318,-0.93259084
-4.4400001,-4.541767
-1.435516387,-1.9020977
-1.569624523,-3.2249734
-2.56213723,-3.128841
-0.441643715,-0.85088325
-2.364295705,-1.3874004
-0.746436269,-5.156867
-2.3900001,-2.4901106
-0.713735462,-0.81045693
-2.847148805,-2.9697225
-4.049147842,-3.8949943
-1.74217923,-1.9093931
0.730328334,0.79658794
-2.66253847,-2.1731288
-4.683951269,-4.55125
-0.089849131,-0.0033028943
-7.466676129,-6.911632
-4.481951358,-4.8166194
-3.4000001,-0.8441018
-3.989285362,-1.9309957
0.851725707,0.3021208
-3.76871563,-3.78006
-1.007740604,-0.9209603
0.297363559,0.41334522
-1.54,-1.521035
-5.162158939,-5.5368953
-2.387049191,-2.2610314
-5.623232549,-5.3598766
0.487023594,-0.5464011
0.313166279,0.38995948
-1.518631896,-1.2644367
1.14,-2.0262232
-3.162092979,-2.7053556
-3.576256936,-2.6369293
-3.90422814,-3.4141862
-4.494042151,-3.7658741
-2.244572095,-2.0509143
-2.569071529,-2.0494616
-1.801826923,-3.3707676
-1.04,-0.6348584
-1.318952859,-2.04992
0.25999999,0.39588824
-4.91187806,-2.4500713
0.28544729,0.34347513
-3.140450738,-3.1340678
-1.639504478,-2.284377
-2.1400001,-2.0488658
0.054038369,0.5279648
-5.183030838,-5.3172755
-4.8400002,-5.009444
-4.9171696,-4.952908
-5.108538899,-5.379701
0.267779682,0.23577261
-1.310228781,-1.3575526
-2.605664527,-2.7177272
-1.687596657,-2.3410075
-2.5699999,-2.267335
-5.146384901,-5.240195
-3.298386287,-3.7794218
-1.430863129,-1.0355635
0.386948245,0.4309371
-2.930148738,-2.3732913
-0.80000001,-1.3536322
-1.96,-1.8943354
-4.0700002,-3.4836507
0.801161564,-0.047822565
-3.418369159,-2.2604094
0.081310296,0.42094952
-1.22,-1.1037712
-2.696457819,-2.3729486
-1.024262237,-1.0570525
-2.900148916,-4.195093
-3.6800001,-4.6246805
-3.342229102,-3.3261533
-1.744940752,-1.737644
-2.28876815,-1.92005
-0.414595665,-0.20028134
-5.279727696,-5.0623436
-4.86987517,-4.864837
-7.489053566,-6.5429053
-3.584234343,-3.1273081
-6.096970078,-5.98284
-3.8099999,-3.7205904
-3.3,-2.9628782
-4.419833604,-4.6540084
-3.756173033,-3.3271878
0.376467487,0.11497484
-1.778677221,-2.8727937
-1.952341301,-2.2948437
0.31,0.08759831
-3.151124914,-2.679662
-0.189648368,-0.16342112
-2.354468139,-2.5894768
-1.752819655,-1.8675221
-2.532200851,-2.3393066
-4.600581121,-4.3039017
-4.041773721,-4.881879
-4.0799999,-5.774258
-5.147934254,-3.4580934
-2.236189577,-3.2452536
0.612297043,0.034496218
-6.33169643,-4.367866
-3.206819691,-3.672353
-1.42,-1.6844345
-4.782962552,-4.667858
-3.270429853,-2.327649
-2.0599999,-2.0374048
-2.350232642,-1.6895171
-3.820299073,-4.243331
-3.632243844,-3.2002099
-0.82999998,-0.9418076
